key;mes;año;indice_imacec
Enero2018;Enero;2018;96,56
Febrero2018;Febrero;2018;92,64
Marzo2018;Marzo;2018;105,14
Abril2018;Abril;2018;101,79
Mayo2018;Mayo;2018;101,66
Junio2018;Junio;2018;98,48
Julio2018;Julio;2018;93,86
Agosto2018;Agosto;2018;98,27
Septiembre2018;Septiembre;2018;94,45
Octubre2018;Octubre;2018;102,35
Noviembre2018;Noviembre;2018;105,71
Diciembre2018;Diciembre;2018;109,09
Enero2019;Enero;2019;98,6
Febrero2019;Febrero;2019;93,3
Marzo2019;Marzo;2019;106,5
Abril2019;Abril;2019;103,61
Mayo2019;Mayo;2019;103,31
Junio2019;Junio;2019;99,2
Julio2019;Julio;2019;96,53
Agosto2019;Agosto;2019;101,73
Septiembre2019;Septiembre;2019;97,33
Octubre2019;Octubre;2019;97,95
Noviembre2019;Noviembre;2019;100,55
Diciembre2019;Diciembre;2019;110,31
Enero2020;Enero;2020;100,08
Febrero2020;Febrero;2020;96,25
Marzo2020;Marzo;2020;102,33
Abril2020;Abril;2020;88,51
Mayo2020;Mayo;2020;87
Junio2020;Junio;2020;85,19
Julio2020;Julio;2020;84,99
Agosto2020;Agosto;2020;90,11
Septiembre2020;Septiembre;2020;91,87
Octubre2020;Octubre;2020;96,37
Noviembre2020;Noviembre;2020;101,34
Diciembre2020;Diciembre;2020;110,57
Enero2021;Enero;2021;95,97
Febrero2021;Febrero;2021;93,57
Marzo2021;Marzo;2021;108,8
Abril2021;Abril;2021;102,23
Mayo2021;Mayo;2021;104
Junio2021;Junio;2021;103,19
Julio2021;Julio;2021;100,46
Agosto2021;Agosto;2021;106,86
Septiembre2021;Septiembre;2021;105,34
Octubre2021;Octubre;2021;110,21
Noviembre2021;Noviembre;2021;116,02
Diciembre2021;Diciembre;2021;121,16
Enero2022;Enero;2022;104,39
Febrero2022;Febrero;2022;100,09
Marzo2022;Marzo;2022;116,14
Abril2022;Abril;2022;108,32
Mayo2022;Mayo;2022;110,32
Junio2022;Junio;2022;106,71
Julio2022;Julio;2022;100,86
Agosto2022;Agosto;2022;107,71
Septiembre2022;Septiembre;2022;104,74
Octubre2022;Octubre;2022;108,6
Noviembre2022;Noviembre;2022;112,16
Diciembre2022;Diciembre;2022;118,71
Enero2023;Enero;2023;104,63
Febrero2023;Febrero;2023;99,54
Marzo2023;Marzo;2023;113,74
Abril2023;Abril;2023;107,34
Mayo2023;Mayo;2023;108,52
Junio2023;Junio;2023;105,88
