key;mes;año;indice_uf;utm;indice_dolar
Enero2018;Enero;2018;26811,97;47019;605,53
Febrero2018;Febrero;2018;26864,09;47066;596,84
Marzo2018;Marzo;2018;26961,32;47301;603,45
Abril2018;Abril;2018;26980,73;47301;600,55
Mayo2018;Mayo;2018;27040,06;47396;626,12
Junio2018;Junio;2018;27119,59;47538;636,15
Julio2018;Julio;2018;27187,19;47681;652,41
Agosto2018;Agosto;2018;27237,98;47729;656,25
Septiembre2018;Septiembre;2018;27329,01;47920;680,91
Octubre2018;Octubre;2018;27393,34;48016;676,84
Noviembre2018;Noviembre;2018;27480,95;48160;677,61
Diciembre2018;Diciembre;2018;27561,53;48353;681,99
Enero2019;Enero;2019;27558,53;48353;677,06
Febrero2019;Febrero;2019;27546,04;48305;656,3
Marzo2019;Marzo;2019;27564,62;48353;667,68
Abril2019;Abril;2019;27601,09;48353;667,4
Mayo2019;Mayo;2019;27720,11;48595;692
Junio2019;Junio;2019;27826,2;48741;692,41
Julio2019;Julio;2019;27946,95;49033;686,06
Agosto2019;Agosto;2019;27968,13;49033;713,7
Septiembre2019;Septiembre;2019;28021,53;49131;718,44
Octubre2019;Octubre;2019;28063,18;49229;721,03
Noviembre2019;Noviembre;2019;28122,86;49229;776,53
Diciembre2019;Diciembre;2019;28288,6;49623;770,39
Enero2020;Enero;2020;28324,55;49673;772,65
Febrero2020;Febrero;2020;28387,75;49723;796,38
Marzo2020;Marzo;2020;28539,73;50021;839,38
Abril2020;Abril;2020;28648,24;50221;853,38
Mayo2020;Mayo;2020;28713,19;50372;821,81
Junio2020;Junio;2020;28709,15;50372;793,72
Julio2020;Julio;2020;28681,36;50322;784,73
Agosto2020;Agosto;2020;28667,73;50272;784,66
Septiembre2020;Septiembre;2020;28694,02;50322;773,4
Octubre2020;Octubre;2020;28760,64;50372;788,27
Noviembre2020;Noviembre;2020;28933,88;50674;762,88
Diciembre2020;Diciembre;2020;29075,47;51029;734,73
Enero2021;Enero;2021;29085,91;50978;723,56
Febrero2021;Febrero;2021;29194,81;51131;722,63
Marzo2021;Marzo;2021;29360,08;51489;726,37
Abril2021;Abril;2021;29439,72;51592;707,85
Mayo2021;Mayo;2021;29555,98;51798;712,26
Junio2021;Junio;2021;29665,83;52005;726,54
Julio2021;Julio;2021;29740,92;52161;750,44
Agosto2021;Agosto;2021;29827,73;52213;779,83
Septiembre2021;Septiembre;2021;30025,93;52631;783,63
Octubre2021;Octubre;2021;30214,65;52842;813,95
Noviembre2021;Noviembre;2021;30573,24;53476;812,62
Diciembre2021;Diciembre;2021;30907,42;54171;849,12
Enero2022;Enero;2022;31096,09;54442;822,05
Febrero2022;Febrero;2022;31365,3;54878;807,07
Marzo2022;Marzo;2022;31669,7;55537;799,19
Abril2022;Abril;2022;31905,76;55704;815,12
Mayo2022;Mayo;2022;32453,99;56762;849,39
Junio2022;Junio;2022;32894,82;57557;857,77
Julio2022;Julio;2022;33268,63;58248;953,71
Agosto2022;Agosto;2022;33616,11;58772;904,35
Septiembre2022;Septiembre;2022;34059,41;59595;921,01
Octubre2022;Octubre;2022;34446,46;60310;955,89
Noviembre2022;Noviembre;2022;34722,91;60853;917,05
Diciembre2022;Diciembre;2022;34948,74;61157;875,66
Enero2023;Enero;2023;35227,24;61769;826,34
Febrero2023;Febrero;2023;35382,14;61954;798,26
Marzo2023;Marzo;2023;35579,62;62450;809,5
Abril2023;Abril;2023;35666,65;62388;803,84
Mayo2023;Mayo;2023;35969,53;63074;798,64
Junio2023;Junio;2023;36069,31;63326;799,87
Julio2023;Julio;2023;36079,89;63326;813,4
Agosto2023;Agosto;2023;36068,7;63199;815,4
